index,callset_order,sample_id,conc (ng/ul),sequencing_date,sampleset_id,fastq_1_path,fastq_2_path,bam_path,vcf_path,legacy_id,country,location,admin1_name,latitude,longitude,sequencing_qc_pass,data_qc_pass,analysis_pop,pop_code,SuperPopulation,collection_method,collection_date,note,Unnamed: 23,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0,0,A01,5.02,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A01_EKDN250020030-1A_22VGFMLT4_L2.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-5.3049583,0.1544782,109.651085,47.81157,-59.67467,12.805621,-54.562225,12.304617,-39.135727,53.649216
1,1,A02,4.28,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A02_EKDN250020031-1A_22VGFMLT4_L8.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-6.07503,-0.25178474,88.530815,25.131227,-14.6095295,8.457748,-48.45471,40.469265,-15.513925,-2.548921
2,2,A03,3.6,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A03_EKDN250020032-1A_22VGFMLT4_L8.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-5.667046,0.07553022,86.62169,54.927917,-50.34921,-6.238067,-64.560234,4.540119,3.2241507,54.78673
3,3,A04,6.92,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A04_EKDN250020033-1A_22VGFMLT4_L1.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-5.3386946,0.1915207,95.627815,60.750896,-52.027943,-27.862286,-73.375435,-18.536,-24.567755,29.84435
4,4,A05,18.0,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A05_EKDN250020034-1A_22VGFMLT4_L8.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-0.66542363,-0.43401295,91.014656,50.371834,-32.251316,18.419325,-67.00069,-9.060499,-42.544342,25.463665
5,5,A06,6.44,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A06_EKDN250020035-1A_22VGFMLT4_L7.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-5.9602623,-0.07637166,85.25859,46.45551,-45.661236,6.3642235,-37.188786,25.51798,-8.460326,24.830061
6,6,A07,5.24,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A07_EKDN250020036-1A_22VGFMLT4_L8.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-7.9815454,0.13988416,64.88638,26.57624,-35.83726,0.12682302,-33.76421,30.656641,-23.143911,34.771248
7,7,A08,8.32,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A08_EKDN250020037-1A_22VGFMLT4_L1.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-6.572175,-0.06817048,87.59417,56.225445,-42.05333,17.468145,0.38257644,11.215635,-61.863846,36.4065
8,8,A10,3.2,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A10_EKDN250020039-1A_22VGFMLT4_L8.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-5.819451,-0.050386727,101.01113,49.151157,-55.18779,4.253866,-30.300388,-4.0497174,-23.78154,43.495556
9,9,A11,4.94,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A11_EKDN250020040-1A_22VGFMLT4_L4.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-3.3428633,-0.42918745,97.60855,62.772835,-37.44916,2.0101063,-16.889095,19.544086,22.782505,-7.309453
10,10,A12,8.24,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A12_EKDN250020041-1A_22VGFMLT4_L1.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-6.7445774,0.11394229,69.4014,51.168583,-28.896696,8.023931,-30.990427,-20.532307,12.593244,59.39069
11,11,A13,5.0,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A13_EKDN250020042-1A_22VGFMLT4_L1.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-6.0965033,-0.11607882,80.29254,30.745512,-44.956978,-14.285664,-8.9877825,15.670454,0.6541361,36.185192
12,12,A14,14.9,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A14_EKDN250020043-1A_22VGFMLT4_L1.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-0.25665456,-1.0968496,101.42053,41.0113,-61.33052,7.3473706,-80.7386,4.819272,11.701216,92.62117
13,13,A15,0.0,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A15_EKDN250020044-1A_22VGFMLT4_L1.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,1.3309934,-0.5351945,101.88321,42.34519,-60.97164,6.8343415,-80.6993,4.8418546,14.219422,95.09234
14,14,A16,0.0,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A16_merged.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-4.7240787,0.4787356,95.89283,61.015293,-52.7898,-28.839157,-74.32984,-19.23668,-24.999418,30.17786
