index,callset_order,sample_id,conc (ng/ul),sequencing_date,sampleset_id,fastq_1_path,fastq_2_path,bam_path,vcf_path,legacy_id,country,location,admin1_name,latitude,longitude,sequencing_qc_pass,data_qc_pass,analysis_pop,pop_code,SuperPopulation,collection_method,collection_date,note,Unnamed: 23,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0,0,A01,5.02,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A01_EKDN250020030-1A_22VGFMLT4_L2.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-18.911367,0.9786819,37.992584,47.752274,-21.658344,45.279907,-21.06937,-23.456942,19.49148,-6.1290283
1,1,A02,4.28,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A02_EKDN250020031-1A_22VGFMLT4_L8.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-17.511766,0.5595688,19.323921,9.177908,-16.685299,14.124201,-43.924385,17.155182,16.901733,18.672276
2,2,A03,3.6,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A03_EKDN250020032-1A_22VGFMLT4_L8.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-16.611002,0.40879962,50.18916,46.408585,-9.891168,71.26153,-7.5599203,-23.72209,33.08556,-4.4505463
3,3,A04,6.92,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A04_EKDN250020033-1A_22VGFMLT4_L1.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-17.064678,0.63010633,48.8673,45.625664,-24.332691,60.06532,-7.0947294,-2.899644,-9.461206,-140.29672
4,4,A05,18.0,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A05_EKDN250020034-1A_22VGFMLT4_L8.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-12.233216,0.30269852,46.630978,27.941767,-48.303364,32.50016,-0.9068592,2.387269,-2.8821898,-49.523243
5,5,A06,6.44,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A06_EKDN250020035-1A_22VGFMLT4_L7.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-17.740541,0.76085794,45.403698,40.197742,2.9927187,18.25776,-32.14702,-10.13324,6.8987255,-7.089133
6,6,A07,5.24,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A07_EKDN250020036-1A_22VGFMLT4_L8.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-18.700811,0.90881264,40.593388,38.96565,6.129093,19.198307,-45.796646,-28.417011,9.862361,21.403284
7,7,A08,8.32,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A08_EKDN250020037-1A_22VGFMLT4_L1.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-18.591354,0.8991144,55.50491,36.582394,-18.760744,-23.299091,-33.950462,-22.9542,27.495447,-24.270666
8,8,A10,3.2,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A10_EKDN250020039-1A_22VGFMLT4_L8.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-17.632399,0.65377283,39.918068,44.700153,-7.926313,28.894737,-9.798705,-12.084617,1.522606,14.959198
9,9,A11,4.94,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A11_EKDN250020040-1A_22VGFMLT4_L4.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-14.6993475,0.48366645,53.24432,30.423998,9.312534,18.523108,4.3137107,-13.647352,-69.71153,26.102314
10,10,A12,8.24,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A12_EKDN250020041-1A_22VGFMLT4_L1.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-16.833206,0.6868843,45.649284,27.464626,17.911627,50.92363,11.4275,-49.293053,15.961896,-3.3864896
11,11,A13,5.0,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A13_EKDN250020042-1A_22VGFMLT4_L1.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-16.265234,0.67309463,31.179024,35.413174,22.113436,23.426586,-4.3231745,-4.553654,24.098139,-3.8203967
12,12,A14,14.9,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A14_EKDN250020043-1A_22VGFMLT4_L1.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-12.350167,0.08308583,31.999626,50.24986,-17.957254,102.86183,-13.189574,-45.583813,86.32573,11.315163
13,13,A15,0.0,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A15_EKDN250020044-1A_22VGFMLT4_L1.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-12.199895,0.28438777,31.914598,49.089268,-17.444242,102.36965,-13.352533,-47.04134,85.21474,11.112678
14,14,A16,0.0,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A16_merged.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-16.766844,0.6999855,48.26086,44.408447,-25.155233,60.37344,-7.1209826,-2.027631,-10.296063,-141.77615
15,15,A17,4.04,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A17_EKDN250020046-1A_22VGFMLT4_L4.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-17.680927,0.7030609,50.92153,49.28598,-15.47038,35.177555,-26.060997,-39.819885,14.7759,14.643483
16,16,A19,2.12,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A19_merged.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-17.176128,0.5826676,-13.444484,28.49229,-12.737556,41.878826,-7.2081895,-38.043194,17.92806,37.967606
17,17,A20,2.42,01/07/2025,,,,/home/dennist/lstm_data/cease/reads_gvcf/eth.ken.2025/A20_EKDN250020049-1A_22VGFMLT4_L4.bam,,,Ethiopia,Awash,Afar,8.995309,40.158987,,,,ETN,Horn of Africa & Yemen,Prokopack,01/11/2024,,,-18.343601,0.7781942,5.0659165,31.087017,-25.264727,45.36385,9.311766,-62.05213,-7.9790034,34.39863
